交易日期,编号,名称,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,长期主线指数,短期主线指数,P9买入分
2026-05-15,"=""603083""",剑桥科技,P9买入Top20,WiFi 6/F5G概念/通信-通信设备,F5G概念,87.29,10.08,7.77,98.43,98.43,91.44,41.19,33.08
2026-05-15,"=""002149""",西部材料,P9买入Top20,有色金属-小金属/超导概念,超导概念,86.95,34.55,15.9,97.19,97.918,91.02,36.07,33.56
2026-05-15,"=""605376""",博迁新材,P9买入Top20,3D打印,3D打印,86.24,23.97,26.78,89.06,89.06,73.62,40.84,32.56
2026-05-15,"=""601208""",东材科技,P9买入Top20,光刻胶/OLED/特高压/基础化工-塑料,基础化工-塑料,86.1,5.39,7.37,88.39,88.39,91.08,45.86,32.57
2026-05-15,"=""002916""",深南电路,短期强度Top20,存储芯片/先进封装/富士康概念/电子-元件,先进封装,85.93,20.32,13.99,81.49,81.49,88.11,56.2,27.91
2026-05-15,"=""600673""",东阳光,短期强度Top20,PVDF概念/氟化工概念,PVDF概念,85.68,7.8,54.37,58.33,64.1788,69.1,51.98,29.36
2026-05-15,"=""600869""",远东股份,P9买入Top20,柔性直流输电/铜缆高速连接/电力设备-电网设备/特高压/超导概念,柔性直流输电,85.6,3.82,1.94,14.12,14.12,79.73,32.79,37.64
2026-05-15,"=""002487""",大金重工,P9买入Top20,电力设备-风电设备,电力设备-风电设备,85.38,17.14,36.49,44.08,45.6376,84.48,35.64,34.6
2026-05-15,"=""002361""",神剑股份,P9买入Top20,基础化工-塑料/3D打印,基础化工-塑料,85.23,16.54,13.89,24.87,24.87,91.08,45.86,32.57
2026-05-15,"=""600183""",生益科技,短期强度Top20,存储芯片/先进封装/电子-元件,先进封装,85.17,7.73,5.36,28.21,28.21,88.11,56.2,27.91
2026-05-15,"=""003018""",金富科技,P9买入Top20,轻工制造-包装印刷,轻工制造-包装印刷,84.92,63.17,91.13,99.97,114.606,80.39,41.27,33.24
2026-05-15,"=""603626""",科森科技,短期强度Top20,富士康概念/新型烟草(电子烟),富士康概念,82.96,34.98,54.4,73.96,80.6128,91.26,52.38,27.33
2026-05-15,"=""002759""",天际股份,短期强度Top20,氟化工概念,氟化工概念,82.88,58.69,81.75,46.12,62.2904,78.76,51.23,28.79
2026-05-15,"=""603286""",日盈电子,短期强度Top20,PM2.5,PM2.5,82.59,17.44,19.22,3.55,3.55,72.28,52.49,23.36
2026-05-15,"=""002838""",道恩股份,短期强度Top20,PEEK材料/基础化工-塑料,PEEK材料,82.07,11.18,5.06,93.21,93.21,90.14,53.14,31.67
