trade_date,symbol,name,pattern_id,close,old_high_date,distance_to_old_high_pct,reason,ma_10,ma_20,ma_60,return_15d,volume_ratio_20,platform_window_days,platform_range_pct,breakout_date,distance_to_platform_high_pct,distance_to_ma20,drawdown_15d,volume_contraction_ratio,consolidation_days,consolidation_range_pct,consolidation_volume_ratio,old_high_price,days_since_old_high,max_drawdown_since_old_high,tradingview_all_rating_2026-04-03,tradingview_all_rating_2026-04-07,tradingview_all_rating_2026-04-08,tradingview_all_rating_2026-04-09,tradingview_all_rating_2026-04-10,tradingview_avg_all_rating_5d,tradingview_all_rating_label,macd_top_divergence_15d,macd_bottom_divergence_15d
2026-04-10,"=""600641""",先导基电,1,22.08,2025-10-14,0.0723,"near old high 23.80 from 2025-10-14, distance=7.23%, drawdown=34.20%",19.396,19.0795,18.801,0.1967,1.7411,,,,,,,,,,,23.8,119.0,0.342,-0.2696969696969696,0.5121212121212121,0.603030303030303,0.3757575757575757,0.5121212121212121,0.3466666666666667,strong_buy,False,False
2026-04-10,"=""600769""",祥龙电业,1,14.65,2025-10-22,0.0722,"near old high 15.79 from 2025-10-22, distance=7.22%, drawdown=26.35%",13.971,13.661,13.1528,0.0678,0.9233,,,,,,,,,,,15.79,113.0,0.2635,0.4242424242424242,-0.1787878787878787,0.4909090909090909,0.603030303030303,0.5121212121212121,0.3703030303030303,strong_buy,False,False
2026-04-10,"=""603076""",乐惠国际,1,28.81,2025-08-27,0.0796,"near old high 31.30 from 2025-08-27, distance=7.96%, drawdown=27.89%",28.604,26.994,25.8742,0.1302,0.8736,,,,,,,,,,,31.3,147.0,0.2789,0.4454545454545455,0.603030303030303,0.4666666666666667,0.3545454545454545,0.4909090909090909,0.4721212121212121,buy,True,False
2026-04-10,"=""603118""",共进股份,1,13.79,2025-09-18,0.049,"near old high 14.50 from 2025-09-18, distance=4.90%, drawdown=25.79%",13.487,12.936,12.3333,0.085,1.5192,,,,,,,,,,,14.5,131.0,0.2579,0.4454545454545455,0.5575757575757576,0.4666666666666667,0.4212121212121212,0.2181818181818182,0.4218181818181818,buy,True,False
2026-04-10,"=""603906""",龙蟠科技,1,22.1,2025-12-04,0.0792,"near old high 24.00 from 2025-12-04, distance=7.92%, drawdown=29.00%",22.08,20.511,19.2592,0.2507,1.0912,,,,,,,,,,,24.0,82.0,0.29,0.4454545454545455,0.3787878787878788,0.5121212121212121,0.5121212121212121,0.5121212121212121,0.472121212121212,strong_buy,False,False
2026-04-10,"=""000729""",燕京啤酒,2,14.26,,,"recent platform breakout on 2026-04-03, platform_range=11.17%, distance=6.10%",13.558,13.1585,12.7108,0.1097,1.34,20.0,0.1116625310173697,2026-04-03,0.06101190476190479,,,,,,,,,,0.603030303030303,0.5121212121212121,0.4666666666666667,0.4,0.4454545454545455,0.4854545454545454,buy,True,False
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
2026-04-10,"=""000989""",中证全指可选消费指数,2,9.57,,,"recent platform breakout on 2026-03-27, platform_range=11.45%, distance=3.46%",9.53,9.21,9.0233,0.0729,0.7047,20.0,0.11445783132530112,2026-03-27,0.03459459459459462,,,,,,,,,,0.2424242424242424,0.2878787878787878,0.2424242424242424,0.2424242424242424,0.3787878787878788,0.2787878787878787,buy,False,True
